participant_id,bias_name,description,age_group,profession,prevalence_score,awareness,corrected_score
P007,Availability Heuristic,Overestimating importance of readily available information,18-25,Tech,0.546,No,0.516
P008,Availability Heuristic,Overestimating importance of readily available information,65+,Student,0.705,No,0.675
P009,Availability Heuristic,Overestimating importance of readily available information,36-50,Other,0.87,No,0.84
P010,Availability Heuristic,Overestimating importance of readily available information,26-35,Healthcare,0.792,No,0.762
P011,Availability Heuristic,Overestimating importance of readily available information,51-65,Other,0.546,No,0.516
P012,Availability Heuristic,Overestimating importance of readily available information,51-65,Healthcare,0.914,No,0.884
P013,Availability Heuristic,Overestimating importance of readily available information,18-25,Other,0.936,Yes,0.986
P014,Availability Heuristic,Overestimating importance of readily available information,65+,Healthcare,1.0,No,0.97
P015,Availability Heuristic,Overestimating importance of readily available information,26-35,Education,0.874,No,0.844
P016,Availability Heuristic,Overestimating importance of readily available information,36-50,Tech,0.307,No,0.277
P017,Availability Heuristic,Overestimating importance of readily available information,26-35,Student,1.0,No,0.97
P018,Availability Heuristic,Overestimating importance of readily available information,65+,Other,0.716,No,0.686
P019,Availability Heuristic,Overestimating importance of readily available information,51-65,Tech,0.728,Yes,0.778
P020,Availability Heuristic,Overestimating importance of readily available information,36-50,Education,0.588,Yes,0.638
P021,Availability Heuristic,Overestimating importance of readily available information,65+,Finance,0.671,Yes,0.721
P022,Availability Heuristic,Overestimating importance of readily available information,36-50,Healthcare,0.836,No,0.806
P023,Availability Heuristic,Overestimating importance of readily available information,65+,Healthcare,0.823,Yes,0.873
P024,Availability Heuristic,Overestimating importance of readily available information,26-35,Education,0.408,No,0.378
P025,Availability Heuristic,Overestimating importance of readily available information,51-65,Tech,0.479,Yes,0.529
P026,Availability Heuristic,Overestimating importance of readily available information,26-35,Healthcare,0.516,No,0.486
P027,Availability Heuristic,Overestimating importance of readily available information,18-25,Education,0.89,No,0.86
P028,Availability Heuristic,Overestimating importance of readily available information,51-65,Student,0.766,No,0.736
P029,Availability Heuristic,Overestimating importance of readily available information,18-25,Tech,0.696,Yes,0.746
P030,Availability Heuristic,Overestimating importance of readily available information,51-65,Education,0.721,Yes,0.771
P031,Availability Heuristic,Overestimating importance of readily available information,18-25,Healthcare,0.495,No,0.465
P032,Availability Heuristic,Overestimating importance of readily available information,26-35,Other,1.0,Yes,1.0
P033,Availability Heuristic,Overestimating importance of readily available information,65+,Education,0.743,Yes,0.793
P034,Availability Heuristic,Overestimating importance of readily available information,65+,Finance,0.513,No,0.483
P035,Availability Heuristic,Overestimating importance of readily available information,26-35,Healthcare,0.73,No,0.7
P036,Availability Heuristic,Overestimating importance of readily available information,18-25,Other,0.738,Yes,0.788
P037,Availability Heuristic,Overestimating importance of readily available information,18-25,Tech,0.553,No,0.523
P038,Availability Heuristic,Overestimating importance of readily available information,26-35,Other,0.45,No,0.42
P039,Availability Heuristic,Overestimating importance of readily available information,36-50,Tech,0.678,No,0.648
P040,Availability Heuristic,Overestimating importance of readily available information,18-25,Healthcare,0.761,No,0.731
P041,Availability Heuristic,Overestimating importance of readily available information,26-35,Other,0.724,No,0.694
P042,Availability Heuristic,Overestimating importance of readily available information,65+,Healthcare,0.603,Yes,0.653
P043,Availability Heuristic,Overestimating importance of readily available information,26-35,Finance,0.58,Yes,0.63
P044,Availability Heuristic,Overestimating importance of readily available information,65+,Healthcare,0.898,No,0.868
P045,Availability Heuristic,Overestimating importance of readily available information,18-25,Healthcare,0.577,No,0.547
P046,Availability Heuristic,Overestimating importance of readily available information,18-25,Student,0.863,No,0.833
P047,Availability Heuristic,Overestimating importance of readily available information,26-35,Student,0.783,No,0.753
P048,Availability Heuristic,Overestimating importance of readily available information,26-35,Finance,0.74,No,0.71
P049,Availability Heuristic,Overestimating importance of readily available information,51-65,Other,0.729,Yes,0.779
P050,Availability Heuristic,Overestimating importance of readily available information,65+,Education,0.575,No,0.545
P001,Anchoring Bias,Relying too heavily on the first piece of information encountered,36-50,Student,0.671,Yes,0.721
P002,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Finance,0.984,No,0.954
P003,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Finance,0.975,Yes,1.0
P004,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Healthcare,0.868,Yes,0.918
P005,Anchoring Bias,Relying too heavily on the first piece of information encountered,65+,Healthcare,0.826,Yes,0.876
P006,Anchoring Bias,Relying too heavily on the first piece of information encountered,65+,Other,0.667,Yes,0.717
P007,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Tech,0.713,No,0.683
P008,Anchoring Bias,Relying too heavily on the first piece of information encountered,36-50,Education,0.815,No,0.785
P009,Anchoring Bias,Relying too heavily on the first piece of information encountered,36-50,Healthcare,0.626,Yes,0.676
P010,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Finance,0.72,Yes,0.77
P011,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Other,0.306,No,0.276
P012,Anchoring Bias,Relying too heavily on the first piece of information encountered,26-35,Healthcare,0.705,Yes,0.755
P013,Anchoring Bias,Relying too heavily on the first piece of information encountered,51-65,Other,0.436,No,0.406
P014,Anchoring Bias,Relying too heavily on the first piece of information encountered,65+,Finance,0.729,No,0.699
P015,Anchoring Bias,Relying too heavily on the first piece of information encountered,26-35,Finance,0.818,No,0.788
P016,Anchoring Bias,Relying too heavily on the first piece of information encountered,26-35,Healthcare,1.0,No,0.97
P017,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Tech,0.929,No,0.899
P018,Anchoring Bias,Relying too heavily on the first piece of information encountered,51-65,Tech,0.739,Yes,0.789
P019,Anchoring Bias,Relying too heavily on the first piece of information encountered,51-65,Education,0.662,Yes,0.712
P020,Anchoring Bias,Relying too heavily on the first piece of information encountered,36-50,Student,0.613,No,0.583
P021,Anchoring Bias,Relying too heavily on the first piece of information encountered,26-35,Finance,0.609,No,0.579
P022,Anchoring Bias,Relying too heavily on the first piece of information encountered,65+,Finance,0.759,Yes,0.809
P023,Anchoring Bias,Relying too heavily on the first piece of information encountered,36-50,Tech,0.716,No,0.686
P024,Anchoring Bias,Relying too heavily on the first piece of information encountered,51-65,Finance,0.725,No,0.695
P025,Anchoring Bias,Relying too heavily on the first piece of information encountered,26-35,Tech,0.705,Yes,0.755
P026,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Tech,0.72,No,0.69
P027,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Healthcare,0.846,Yes,0.896
P028,Anchoring Bias,Relying too heavily on the first piece of information encountered,65+,Education,0.738,No,0.708
P029,Anchoring Bias,Relying too heavily on the first piece of information encountered,26-35,Other,0.925,No,0.895
P030,Anchoring Bias,Relying too heavily on the first piece of information encountered,36-50,Other,0.556,No,0.526
P031,Anchoring Bias,Relying too heavily on the first piece of information encountered,26-35,Finance,0.685,Yes,0.735
P032,Anchoring Bias,Relying too heavily on the first piece of information encountered,65+,Other,0.507,No,0.477
P033,Anchoring Bias,Relying too heavily on the first piece of information encountered,65+,Tech,0.932,No,0.902
P034,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Other,0.585,No,0.555
P035,Anchoring Bias,Relying too heavily on the first piece of information encountered,26-35,Student,0.799,No,0.769
P036,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Healthcare,0.736,No,0.706
P037,Anchoring Bias,Relying too heavily on the first piece of information encountered,65+,Student,0.574,No,0.544
P038,Anchoring Bias,Relying too heavily on the first piece of information encountered,51-65,Finance,0.569,Yes,0.619
P039,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Other,1.0,Yes,1.0
P040,Anchoring Bias,Relying too heavily on the first piece of information encountered,65+,Student,0.588,No,0.558
P041,Anchoring Bias,Relying too heavily on the first piece of information encountered,51-65,Finance,0.826,Yes,0.876
P042,Anchoring Bias,Relying too heavily on the first piece of information encountered,26-35,Tech,0.45,No,0.42
P043,Anchoring Bias,Relying too heavily on the first piece of information encountered,51-65,Healthcare,0.754,No,0.724
P044,Anchoring Bias,Relying too heavily on the first piece of information encountered,36-50,Student,0.671,No,0.641
P045,Anchoring Bias,Relying too heavily on the first piece of information encountered,26-35,Student,0.611,No,0.581
P046,Anchoring Bias,Relying too heavily on the first piece of information encountered,36-50,Education,0.641,No,0.611
P047,Anchoring Bias,Relying too heavily on the first piece of information encountered,18-25,Healthcare,0.83,No,0.8
P048,Anchoring Bias,Relying too heavily on the first piece of information encountered,26-35,Other,0.764,No,0.734
P049,Anchoring Bias,Relying too heavily on the first piece of information encountered,65+,Finance,0.556,Yes,0.606
P050,Anchoring Bias,Relying too heavily on the first piece of information encountered,65+,Tech,0.757,Yes,0.807
P001,Overconfidence Effect,Overestimating your own abilities or knowledge,18-25,Healthcare,0.935,No,0.905
P002,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Finance,0.788,No,0.758
P003,Overconfidence Effect,Overestimating your own abilities or knowledge,26-35,Student,0.698,No,0.668
P004,Overconfidence Effect,Overestimating your own abilities or knowledge,36-50,Tech,0.729,No,0.699
P005,Overconfidence Effect,Overestimating your own abilities or knowledge,65+,Finance,0.947,Yes,0.997
P006,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Healthcare,0.617,Yes,0.667
P007,Overconfidence Effect,Overestimating your own abilities or knowledge,18-25,Healthcare,0.706,No,0.676
P008,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Finance,0.631,No,0.601
P009,Overconfidence Effect,Overestimating your own abilities or knowledge,18-25,Finance,1.0,No,0.97
P010,Overconfidence Effect,Overestimating your own abilities or knowledge,18-25,Tech,0.773,No,0.743
P011,Overconfidence Effect,Overestimating your own abilities or knowledge,36-50,Finance,0.666,No,0.636
P012,Overconfidence Effect,Overestimating your own abilities or knowledge,65+,Student,0.878,No,0.848
P013,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Finance,0.844,Yes,0.894
P014,Overconfidence Effect,Overestimating your own abilities or knowledge,36-50,Other,0.673,No,0.643
P015,Overconfidence Effect,Overestimating your own abilities or knowledge,26-35,Finance,0.65,No,0.62
P016,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Student,0.821,No,0.791
P017,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Education,0.542,Yes,0.592
P018,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Healthcare,0.697,No,0.667
P019,Overconfidence Effect,Overestimating your own abilities or knowledge,26-35,Other,0.888,No,0.858
P020,Overconfidence Effect,Overestimating your own abilities or knowledge,65+,Tech,0.644,Yes,0.694
P021,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Finance,0.747,No,0.717
P022,Overconfidence Effect,Overestimating your own abilities or knowledge,36-50,Healthcare,0.883,No,0.853
P023,Overconfidence Effect,Overestimating your own abilities or knowledge,36-50,Healthcare,0.629,Yes,0.679
P024,Overconfidence Effect,Overestimating your own abilities or knowledge,26-35,Student,0.717,Yes,0.767
P025,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Education,0.831,No,0.801
P026,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Healthcare,1.0,Yes,1.0
P027,Overconfidence Effect,Overestimating your own abilities or knowledge,26-35,Tech,0.886,Yes,0.936
P028,Overconfidence Effect,Overestimating your own abilities or knowledge,26-35,Finance,0.844,Yes,0.894
P029,Overconfidence Effect,Overestimating your own abilities or knowledge,65+,Tech,0.96,No,0.93
P030,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Other,0.608,No,0.578
P031,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Finance,0.742,Yes,0.792
P032,Overconfidence Effect,Overestimating your own abilities or knowledge,36-50,Tech,0.816,No,0.786
P033,Overconfidence Effect,Overestimating your own abilities or knowledge,65+,Other,0.843,Yes,0.893
P034,Overconfidence Effect,Overestimating your own abilities or knowledge,26-35,Healthcare,0.488,No,0.458
P035,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Healthcare,1.0,No,0.97
P036,Overconfidence Effect,Overestimating your own abilities or knowledge,18-25,Tech,0.687,Yes,0.737
P037,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Education,0.712,No,0.682
P038,Overconfidence Effect,Overestimating your own abilities or knowledge,65+,Healthcare,0.774,No,0.744
P039,Overconfidence Effect,Overestimating your own abilities or knowledge,26-35,Student,0.784,No,0.754
P040,Overconfidence Effect,Overestimating your own abilities or knowledge,18-25,Other,0.855,No,0.825
P041,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Student,0.73,No,0.7
P042,Overconfidence Effect,Overestimating your own abilities or knowledge,26-35,Education,0.756,No,0.726
P043,Overconfidence Effect,Overestimating your own abilities or knowledge,36-50,Tech,0.641,No,0.611
P044,Overconfidence Effect,Overestimating your own abilities or knowledge,18-25,Student,0.639,Yes,0.689
P045,Overconfidence Effect,Overestimating your own abilities or knowledge,65+,Education,0.812,No,0.782
P046,Overconfidence Effect,Overestimating your own abilities or knowledge,18-25,Student,0.879,No,0.849
P047,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Finance,0.979,No,0.949
P048,Overconfidence Effect,Overestimating your own abilities or knowledge,51-65,Education,0.715,Yes,0.765
P049,Overconfidence Effect,Overestimating your own abilities or knowledge,26-35,Student,0.997,Yes,1.0
P050,Overconfidence Effect,Overestimating your own abilities or knowledge,18-25,Tech,0.713,No,0.683
P001,Sunk Cost Fallacy,Continuing a behavior because of prior investment,51-65,Student,0.69,No,0.66
P002,Sunk Cost Fallacy,Continuing a behavior because of prior investment,26-35,Healthcare,0.922,Yes,0.972
P003,Sunk Cost Fallacy,Continuing a behavior because of prior investment,36-50,Other,0.5,Yes,0.55
P004,Sunk Cost Fallacy,Continuing a behavior because of prior investment,36-50,Other,0.809,No,0.779
P005,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Tech,0.6,No,0.57
P006,Sunk Cost Fallacy,Continuing a behavior because of prior investment,26-35,Tech,0.703,No,0.673
P007,Sunk Cost Fallacy,Continuing a behavior because of prior investment,36-50,Finance,0.862,No,0.832
P008,Sunk Cost Fallacy,Continuing a behavior because of prior investment,26-35,Healthcare,0.833,No,0.803
P009,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Education,0.791,Yes,0.841
P010,Sunk Cost Fallacy,Continuing a behavior because of prior investment,65+,Tech,0.819,No,0.789
P011,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Tech,0.449,No,0.419
P012,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Student,0.899,No,0.869
P013,Sunk Cost Fallacy,Continuing a behavior because of prior investment,36-50,Tech,0.839,No,0.809
P014,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Finance,1.0,No,0.97
P015,Sunk Cost Fallacy,Continuing a behavior because of prior investment,51-65,Finance,0.861,Yes,0.911
P016,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Finance,0.685,Yes,0.735
P017,Sunk Cost Fallacy,Continuing a behavior because of prior investment,51-65,Student,0.465,No,0.435
P018,Sunk Cost Fallacy,Continuing a behavior because of prior investment,36-50,Healthcare,0.605,Yes,0.655
P019,Sunk Cost Fallacy,Continuing a behavior because of prior investment,51-65,Tech,0.465,Yes,0.515
P020,Sunk Cost Fallacy,Continuing a behavior because of prior investment,36-50,Other,0.941,No,0.911
P021,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Other,0.468,No,0.438
P022,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Healthcare,0.846,Yes,0.896
P023,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Student,0.689,No,0.659
P024,Sunk Cost Fallacy,Continuing a behavior because of prior investment,36-50,Finance,0.949,Yes,0.999
P025,Sunk Cost Fallacy,Continuing a behavior because of prior investment,65+,Student,0.682,Yes,0.732
P026,Sunk Cost Fallacy,Continuing a behavior because of prior investment,36-50,Finance,0.938,Yes,0.988
P027,Sunk Cost Fallacy,Continuing a behavior because of prior investment,65+,Other,0.752,No,0.722
P028,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Healthcare,0.682,No,0.652
P029,Sunk Cost Fallacy,Continuing a behavior because of prior investment,51-65,Healthcare,0.782,No,0.752
P030,Sunk Cost Fallacy,Continuing a behavior because of prior investment,26-35,Healthcare,0.378,Yes,0.428
P031,Sunk Cost Fallacy,Continuing a behavior because of prior investment,36-50,Other,0.729,Yes,0.779
P032,Sunk Cost Fallacy,Continuing a behavior because of prior investment,36-50,Healthcare,0.497,No,0.467
P033,Sunk Cost Fallacy,Continuing a behavior because of prior investment,65+,Student,0.551,Yes,0.601
P034,Sunk Cost Fallacy,Continuing a behavior because of prior investment,51-65,Student,0.689,No,0.659
P035,Sunk Cost Fallacy,Continuing a behavior because of prior investment,51-65,Education,0.615,No,0.585
P036,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Student,0.675,Yes,0.725
P037,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Tech,0.845,No,0.815
P038,Sunk Cost Fallacy,Continuing a behavior because of prior investment,51-65,Tech,0.8,Yes,0.85
P039,Sunk Cost Fallacy,Continuing a behavior because of prior investment,51-65,Healthcare,0.537,No,0.507
P040,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Finance,0.546,Yes,0.596
P041,Sunk Cost Fallacy,Continuing a behavior because of prior investment,65+,Finance,0.529,Yes,0.579
P042,Sunk Cost Fallacy,Continuing a behavior because of prior investment,26-35,Tech,0.876,Yes,0.926
P043,Sunk Cost Fallacy,Continuing a behavior because of prior investment,26-35,Finance,0.847,Yes,0.897
P044,Sunk Cost Fallacy,Continuing a behavior because of prior investment,51-65,Finance,0.569,No,0.539
P045,Sunk Cost Fallacy,Continuing a behavior because of prior investment,65+,Education,0.732,No,0.702
P046,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Student,0.971,Yes,1.0
P047,Sunk Cost Fallacy,Continuing a behavior because of prior investment,26-35,Healthcare,0.737,Yes,0.787
P048,Sunk Cost Fallacy,Continuing a behavior because of prior investment,18-25,Student,0.678,Yes,0.728
P049,Sunk Cost Fallacy,Continuing a behavior because of prior investment,65+,Tech,0.831,No,0.801
P050,Sunk Cost Fallacy,Continuing a behavior because of prior investment,51-65,Education,0.639,Yes,0.689
P001,Bandwagon Effect,Doing things because many others are doing them,18-25,Student,0.497,Yes,0.547
P002,Bandwagon Effect,Doing things because many others are doing them,18-25,Finance,0.471,Yes,0.521
P003,Bandwagon Effect,Doing things because many others are doing them,18-25,Tech,0.692,No,0.662
P004,Bandwagon Effect,Doing things because many others are doing them,26-35,Student,0.65,No,0.62
P005,Bandwagon Effect,Doing things because many others are doing them,51-65,Other,0.505,Yes,0.555
P006,Bandwagon Effect,Doing things because many others are doing them,18-25,Healthcare,0.801,No,0.771
P007,Bandwagon Effect,Doing things because many others are doing them,18-25,Healthcare,0.771,No,0.741
P008,Bandwagon Effect,Doing things because many others are doing them,65+,Student,0.739,No,0.709
P009,Bandwagon Effect,Doing things because many others are doing them,51-65,Other,0.591,No,0.561
P010,Bandwagon Effect,Doing things because many others are doing them,51-65,Student,1.0,Yes,1.0
P011,Bandwagon Effect,Doing things because many others are doing them,65+,Finance,0.625,No,0.595
P012,Bandwagon Effect,Doing things because many others are doing them,36-50,Other,0.665,Yes,0.715
P013,Bandwagon Effect,Doing things because many others are doing them,51-65,Tech,0.8,Yes,0.85
P014,Bandwagon Effect,Doing things because many others are doing them,18-25,Student,0.593,No,0.563
P015,Bandwagon Effect,Doing things because many others are doing them,36-50,Healthcare,0.661,Yes,0.711
P016,Bandwagon Effect,Doing things because many others are doing them,26-35,Other,0.572,No,0.542
P017,Bandwagon Effect,Doing things because many others are doing them,51-65,Student,0.342,No,0.312
P018,Bandwagon Effect,Doing things because many others are doing them,26-35,Tech,0.498,Yes,0.548
P019,Bandwagon Effect,Doing things because many others are doing them,26-35,Education,0.676,No,0.646
P020,Bandwagon Effect,Doing things because many others are doing them,26-35,Finance,0.699,Yes,0.749
P021,Bandwagon Effect,Doing things because many others are doing them,18-25,Healthcare,0.569,No,0.539
P022,Bandwagon Effect,Doing things because many others are doing them,18-25,Other,0.839,No,0.809
P023,Bandwagon Effect,Doing things because many others are doing them,26-35,Other,0.674,No,0.644
P024,Bandwagon Effect,Doing things because many others are doing them,26-35,Healthcare,0.546,Yes,0.596
P025,Bandwagon Effect,Doing things because many others are doing them,26-35,Student,0.504,No,0.474
P026,Bandwagon Effect,Doing things because many others are doing them,18-25,Tech,0.757,Yes,0.807
P027,Bandwagon Effect,Doing things because many others are doing them,26-35,Student,0.865,No,0.835
P028,Bandwagon Effect,Doing things because many others are doing them,36-50,Student,0.458,No,0.428
P029,Bandwagon Effect,Doing things because many others are doing them,51-65,Education,0.802,No,0.772
P030,Bandwagon Effect,Doing things because many others are doing them,36-50,Education,0.438,Yes,0.488
P031,Bandwagon Effect,Doing things because many others are doing them,51-65,Other,0.531,Yes,0.581
P032,Bandwagon Effect,Doing things because many others are doing them,18-25,Education,0.781,No,0.751
P033,Bandwagon Effect,Doing things because many others are doing them,51-65,Tech,0.453,No,0.423
P034,Bandwagon Effect,Doing things because many others are doing them,26-35,Healthcare,0.718,No,0.688
P035,Bandwagon Effect,Doing things because many others are doing them,18-25,Tech,0.56,No,0.53
P036,Bandwagon Effect,Doing things because many others are doing them,65+,Education,0.761,No,0.731
P037,Bandwagon Effect,Doing things because many others are doing them,18-25,Other,0.882,Yes,0.932
P038,Bandwagon Effect,Doing things because many others are doing them,65+,Student,0.897,Yes,0.947
P039,Bandwagon Effect,Doing things because many others are doing them,65+,Healthcare,0.499,Yes,0.549
P040,Bandwagon Effect,Doing things because many others are doing them,18-25,Education,0.435,No,0.405
P041,Bandwagon Effect,Doing things because many others are doing them,18-25,Tech,0.862,Yes,0.912
P042,Bandwagon Effect,Doing things because many others are doing them,26-35,Other,0.88,No,0.85
P043,Bandwagon Effect,Doing things because many others are doing them,26-35,Student,0.753,Yes,0.803
P044,Bandwagon Effect,Doing things because many others are doing them,36-50,Education,0.471,Yes,0.521
P045,Bandwagon Effect,Doing things because many others are doing them,51-65,Tech,0.64,No,0.61
